text,label,cleaned_text
"If I hadn’t seen this, I’d thought it was impossible. TAG someone &amp; challenge! @user @user",10,"if i hadnt seen this, id thought it was impossible. tag someone amp challenge!"
About to Tumble into Tuesday. #Jeep #JeepWave #jeeplife #Jeepbeef #jeepnation #JeepPorn…,2,about to tumble into tuesday.
"My transformation has begun...fitness, fashion, food and fun -- my favorite four ""f's"" ️…",0,"my transformation has begun...fitness, fashion, food and fun my favorite four f's"
Might as well face it you're addicted to love ️ (ps- if you look…,0,might as well face it you're addicted to love ps if you look
"My 1st Friend. My Best Friend. My True #RideorDie. I ️ You to the Moon &amp; Back, 100x over.…",0,"my 1st friend. my best friend. my true . i you to the moon amp back, 100x over."
"It took a fall festival, but she's finally behind bars @user @ Duluth Fall Festival",14,"it took a fall festival, but she's finally behind bars duluth fall festival"
sun is shining over me @ Brooklyn Bridge,3,sun is shining over me brooklyn bridge
This girl is on @ County of Miami-Dade,4,this girl is on county of miamidade
Merry merry Christmas to y'all. May God refill our hearts with…,0,merry merry christmas to y'all. may god refill our hearts with
Me and my Daughter after Sunday Church Service. @ Victory,6,me and my daughter after sunday church service. victory
Your Support Matters -- #Repost @user Of Epilepsy gives many gifts locally…,13,your support matters of epilepsy gives many gifts locally
Smile for the camera @ Oklahoma,18,smile for the camera oklahoma
Trappers Delight : masonluckiewicz @ BOOM Concepts,18,trappers delight masonluckiewicz boom concepts
Smiling from ear to ear these days because that's what life should be all about. …,5,smiling from ear to ear these days because that's what life should be all about.
These escort cards by heartpapersoul for our lavender theme are so pretty! #coastsidecouture…,1,these escort cards by heartpapersoul for our lavender theme are so pretty!
"Happy 4th @ Bellflower, California",11,"happy 4th bellflower, california"
Just checked into our hotel for #lacomiccon17 weekend. Gotta ️ a place that gives you warm…,0,just checked into our hotel for weekend. gotta a place that gives you warm
#tbt weight2wear apparel photo cred @user #model #texas #weighttowear #photooftheday…,18,weight2wear apparel photo cred
"Hmn why am I posting this, let's see - cause its Wednesday!! #prince #sofine # #lovehim @ UFC…",13,"hmn why am i posting this, let's see cause its wednesday!! ufc"
Sisters! Do one day apart ️.…,0,sisters! do one day apart .
Tomorrow I'll be at #TheBeatAuction junxioncomplex Check the flyer for more info. @ The…,4,tomorrow i'll be at junxioncomplex check the flyer for more info. the
We love our big sis ️ @ Port Neches - Groves High School,0,we love our big sis port neches groves high school
It's #MargaritaMonday! Come take a picture in our cute #Loteria frame @ Milpa Kitchen &amp; Cantina,1,it's ! come take a picture in our cute frame milpa kitchen amp cantina
Santa Barbara is such a beautiful place to visit ️#familyvacation…,0,santa barbara is such a beautiful place to visit
"- gains and more gains, I’m on to something . - B O O K your time with me, come get you…",4,"gains and more gains, im on to something . b o o k your time with me, come get you"
I Just Want You To Listen! •• Photo Cred: thegloriusconnect #mimijeanite #6464 #artist #music…,18,i just want you to listen! photo cred thegloriusconnect
Just watched this film and it was very heart warming and a beautiful story ••#film #movie…,0,just watched this film and it was very heart warming and a beautiful story
I got the jr. therapists today #anklerehab #pt #ptcentral #physicaltherapy #womeninmedicine…,16,i got the jr. therapists today
We out here @ Fountain Square USA,4,we out here fountain square usa
Can’t get enough of these amazing shelves! Bringing a little bit of local history into this…,1,cant get enough of these amazing shelves! bringing a little bit of local history into this
There's nothing like being able to balayage with color •••••••••••#clt #clthair…,1,there's nothing like being able to balayage with color
Saturday afternoon spent at #PointFermin at #CabrilloBeach to see all the #HermitCrab and…,11,saturday afternoon spent at at to see all the and
Star Wars day! May the force be with us. #starwars #hollywoodstudios #maytheforcebewithyou @user,13,star wars day! may the force be with us.
@user @ Maryland,2,maryland
Countdown to #Inktober #penandink #inktober2017 #inktober #audysketches #audyscribbles…,16,countdown to
SQUAD GOALS ...#torontobride #torontowedding #hellomidge #weddingparty #weddingflorist…,1,squad goals ...
This is how we roll! #xmen #wolverine #storm #mystique #cosplay #costumes #halloween…,0,this is how we roll!
Going live rn @ Las Vegas Strip,18,going live rn las vegas strip
"I think I prefer to be Kansas Senate President, rather than Kansas House Speaker. @ Topeka Toll",2,"i think i prefer to be kansas senate president, rather than kansas house speaker. topeka toll"
"She got a ButtholeButton @ City of Mount Vernon, NY",2,"she got a buttholebutton city of mount vernon, ny"
"Yet another reason we love Charleston! How cute is this picture? ( @user @ Charleston,…",10,"yet another reason we love charleston! how cute is this picture? charleston,"
"I was gone tell you I'm improving @ West Bronx, Bronx, New York",6,"i was gone tell you i'm improving west bronx, bronx, new york"
Even on FB. #usa #saintlouis #stlouis #bestvapeshop #missouri #webstergroves #affton…,6,even on fb.
"Once again, @user comes with the playing #YoungRobot from…",4,"once again, comes with the playing from"
Quality day so far with special guest appearance for the yakayard! @user @user,2,quality day so far with special guest appearance for the yakayard!
She has the cutest poses @ Alpine Loop,1,she has the cutest poses alpine loop
#Repost @user (get_repost)・・・@QWorldStar #viral #cali #kansascity #rapradar…,4,get_repost
"I kinda give a damn, I kinda don't care @ Atlantic Beach, Florida",6,"i kinda give a damn, i kinda don't care atlantic beach, florida"
"Wedding ready @ Columbus, Ohio",18,"wedding ready columbus, ohio"
"a year full of lasts, senior homecoming @ Franklin County Seahawks, Florida (official)",7,"a year full of lasts, senior homecoming franklin county seahawks, florida official"
"Some of us grew up, some of us didn't ️ @ Nippersink Creek",12,"some of us grew up, some of us didn't nippersink creek"
"Rooted in my eccentricities. : alexyael @ Studio City, California",10,"rooted in my eccentricities. alexyael studio city, california"
"Probably one of my favorite pieces, the Picasso's and Monet's didn't hurt to look at either …",1,"probably one of my favorite pieces, the picasso's and monet's didn't hurt to look at either"
At my favorite spot not pictured: veggie dumplings that I devoured @user @user,1,at my favorite spot not pictured veggie dumplings that i devoured
Happy birthday to my soul mate. I love you more than anything ️ @user,0,happy birthday to my soul mate. i love you more than anything
Like H-Town in the summertime I keep it 100 ️----#dadbod #dadbodgoals #biceps…,12,like htown in the summertime i keep it 100
La Tole en #Miami Down Town en el Real Chapeo #LaToleEnUsa #Chapiadora #Florida #USA…,2,la tole en down town en el real chapeo
Imagine if this beauty was pulling up your driveway this morning. @ Molly Maid of Greater…,1,imagine if this beauty was pulling up your driveway this morning. molly maid of greater
"Mr Dijon Resides in France No, I’m not a 100% sure of the meaning behind this graphic tee, but…",7,"mr dijon resides in france no, im not a 100 sure of the meaning behind this graphic tee, but"
Who yall like tonight? @ Residence Inn by Marriott Fort Myers,6,who yall like tonight? residence inn by marriott fort myers
~ The world needs more sparkle @user #NYFW ~ @ Skylight Clarkson Sq,7,the world needs more sparkle skylight clarkson sq
"Got me on lock down once again I needed a hug @ City of Burlington, NJ",6,"got me on lock down once again i needed a hug city of burlington, nj"
Want ️ #olennatyrell #got #gameofthrones @ Shawn And Marc's Place,0,want shawn and marc's place
Feeling a bit renewed ️ Our mini getaway was exactly what we needed. #Cambria #cambrialandinginn…,0,feeling a bit renewed our mini getaway was exactly what we needed.
"Taking away pain ain't easy. : @user @ Salem, Oregon",18,"taking away pain ain't easy. salem, oregon"
All you need is strong coffee and a short Friday Come see us this morning and get a…,5,all you need is strong coffee and a short friday come see us this morning and get a
I just fucking love #christmas !!!.........@yankees #yankeesnation #yankees…,17,i just fucking love !!!.........
My favorite song right now...... speaks volumes ️ #alliwant…,0,my favorite song right now...... speaks volumes
"I ain't even mad, this week has been full of love! …",8,"i ain't even mad, this week has been full of love!"
June 29th 2017.Today's hiked so fun With sweet friends and happy lovely two happy…,7,june 29th 2017.today's hiked so fun with sweet friends and happy lovely two happy
Polls are closing soon please continue vote for me ️ ️ ️ @ West…,0,polls are closing soon please continue vote for me west
# ️ @ Argenta Historic District,0,argenta historic district
"Civic duty today. Looking through Twain. Timely message. ""L ️VE WORLD."" (I particularly love…",0,civic duty today. looking through twain. timely message. l ve world. i particularly love
"Back in the Ozarks. : dansnowphoto @ Goat Bluff Trail- Ponca, Arkansas",10,"back in the ozarks. dansnowphoto goat bluff trail ponca, arkansas"
"Always love being your plus one, thanks for a good night @user",5,"always love being your plus one, thanks for a good night"
Waited 165 days for today.... MY BOYZZZ ARE BACK!! ️ ️ ️#homeopener2017 #wethenorth…,0,waited 165 days for today.... my boyzzz are back!!
Love my girls ️and the photo bomber @ Grandma and Grandpa's Ranchito,0,love my girls and the photo bomber grandma and grandpa's ranchito
"Private Dining ️ Colin + Martin! #congrats @user #photography (@ Lee - @user in Toronto, ON)",0,"private dining colin martin! lee in toronto, on"
8 years together and this has been her favorite b-day gift. Thanks @user # ️ #hbd…,0,8 years together and this has been her favorite bday gift. thanks
Don't miss Enchanted's return from Nov. 19 – Jan. 7! Get your tickets at Photo…,7,don't miss enchanted's return from nov. 19 jan. 7! get your tickets at photo
"Gonna miss this place @ Los Angeles, California",7,"gonna miss this place los angeles, california"
